id,year,crawl_id,shard_id,original_url,text_length,languages,fetch_status,collected_at
1932,2013,CC-MAIN-2013-48,NA,http://10g.io/Account/LogIn?ReturnUrl=%2fAdmin,107,NA,success,2026-03-28 14:58:41
1287,2013,CC-MAIN-2013-48,NA,http://1up.io/,1681,NA,success,2026-03-28 14:41:01
1487,2013,CC-MAIN-2013-48,NA,http://360.io/Mfg2LF,211,NA,success,2026-03-28 14:46:31
1720,2013,CC-MAIN-2013-48,NA,http://aaronbonner.io/,49770,NA,success,2026-03-28 14:52:55
1530,2013,CC-MAIN-2013-48,NA,http://ace.c9.io/kitchen-sink.html,825,NA,success,2026-03-28 14:47:42
1740,2013,CC-MAIN-2013-48,NA,http://adelaidephotos.com.au/adelaide.htm,21107,NA,success,2026-03-28 14:53:28
1197,2013,CC-MAIN-2013-48,NA,http://adelaidephotos.com.au/northadelaidepanorama001a.htm,3493,NA,success,2026-03-28 14:38:31
1230,2013,CC-MAIN-2013-48,NA,http://adelaideprodjs.com.au/,1594,NA,success,2026-03-28 14:39:27
1788,2013,CC-MAIN-2013-48,NA,http://adelaidereds.com.au/aboutus/default.aspx,4275,NA,success,2026-03-28 14:54:46
1641,2013,CC-MAIN-2013-48,NA,http://adelaidevet.com.au/pocket-pets,2896,NA,success,2026-03-28 14:50:44
1484,2013,CC-MAIN-2013-48,NA,http://adelaidewomensfitness.com.au/trainers/sherry/,48,NA,success,2026-03-28 14:46:27
1505,2013,CC-MAIN-2013-48,NA,http://adelene.com.au/,500,NA,success,2026-03-28 14:47:01
1694,2013,CC-MAIN-2013-48,NA,http://adeleplumridge.com.au/,2341,NA,success,2026-03-28 14:52:12
1345,2013,CC-MAIN-2013-48,NA,http://adeleyeephotography.com.au/,3576,NA,success,2026-03-28 14:42:38
1899,2013,CC-MAIN-2013-48,NA,http://adelong.com.au/,3999,NA,success,2026-03-28 14:57:47
1372,2013,CC-MAIN-2013-48,NA,http://adenvirotech.com.au/contact-us/,2281,NA,success,2026-03-28 14:43:23
1883,2013,CC-MAIN-2013-48,NA,http://adi-powders.com.au/handloaders-guide/,1136,NA,success,2026-03-28 14:57:21
1385,2013,CC-MAIN-2013-48,NA,http://adil.io/entrepreneurship/ideas-are-worthless-execution-is-everything/,4855,NA,success,2026-03-28 14:43:44
1996,2013,CC-MAIN-2013-48,NA,http://administrationoverflow.com.au/?page_id=2,2667,NA,success,2026-03-28 15:00:25
1845,2013,CC-MAIN-2013-48,NA,http://adphence.com.au/outdoor-advertising-brisbane,3366,NA,success,2026-03-28 14:56:19
1728,2013,CC-MAIN-2013-48,NA,http://adrianhilldevelopments.com.au/,2370,NA,success,2026-03-28 14:53:08
1112,2013,CC-MAIN-2013-48,NA,http://adsone.com.au/uiavic/,1117,NA,success,2026-03-28 14:36:11
1223,2013,CC-MAIN-2013-48,NA,http://advancedmobiletune.com.au/mobile-mechanics-perth.php,1459,NA,success,2026-03-28 14:39:15
1124,2013,CC-MAIN-2013-48,NA,http://advancedpetsitting.com.au/pet-taxi/,3285,NA,success,2026-03-28 14:36:31
1808,2013,CC-MAIN-2013-48,NA,http://advantagesports.com.au/news-view/playgrounds-playbooster-a-hit-in-the-isa-20,1828,NA,success,2026-03-28 14:55:19
1839,2013,CC-MAIN-2013-48,NA,http://adventurecampers.com.au/campertrailer_bedroom.htm,2272,NA,success,2026-03-28 14:56:09
1606,2013,CC-MAIN-2013-48,NA,http://adventurequip.com.au/products/trail-running/,2144,NA,success,2026-03-28 14:49:46
2058,2013,CC-MAIN-2013-48,NA,http://adventuresails.com.au/private-charters/,2434,NA,success,2026-03-28 15:02:06
1644,2013,CC-MAIN-2013-48,NA,http://advisertech.com.au/,400,NA,success,2026-03-28 14:50:50
2122,2013,CC-MAIN-2013-48,NA,http://aeec.com.au/events/2012/08/10/science-alive.jsp,583,NA,success,2026-03-28 15:03:53
1666,2013,CC-MAIN-2013-48,NA,http://aeroplanejelly.com.au/Resources/Recipe-Books/Kids-Party.aspx,2156,NA,success,2026-03-28 14:51:26
1236,2013,CC-MAIN-2013-48,NA,http://aerpro.com.au/,1040,NA,success,2026-03-28 14:39:37
1937,2013,CC-MAIN-2013-48,NA,http://afaps.com.au/,3445,NA,success,2026-03-28 14:58:48
1933,2013,CC-MAIN-2013-48,NA,http://affinityglazing.com.au/gnscdb/dqmf.php?gszx=picture-of-a-rocket-taking-off,8148,NA,success,2026-03-28 14:58:42
1601,2013,CC-MAIN-2013-48,NA,http://akechi.us/shop/sukoyaka-rice-brown-genmai.html,2642,NA,success,2026-03-28 14:49:38
2097,2013,CC-MAIN-2013-48,NA,http://akersgroup.us/,67,NA,success,2026-03-28 15:03:09
1361,2013,CC-MAIN-2013-48,NA,http://alias.io/tag/mit/,298,NA,success,2026-03-28 14:43:04
1921,2013,CC-MAIN-2013-48,NA,http://amit.io/blog/tag/ux/,2748,NA,success,2026-03-28 14:58:23
1256,2013,CC-MAIN-2013-48,NA,http://amos.io/2009/04/13/usps-reliability-test-with-strange-objects/,2001,NA,success,2026-03-28 14:40:09
1102,2013,CC-MAIN-2013-48,NA,http://andrew.io/weblog/tag/jqueryui/,3595,NA,success,2026-03-28 14:35:55
1749,2013,CC-MAIN-2013-48,NA,http://ap.io/,541,NA,success,2026-03-28 14:53:42
1969,2013,CC-MAIN-2013-48,NA,http://apis.io/apis,7066,NA,success,2026-03-28 14:59:42
2034,2013,CC-MAIN-2013-48,NA,http://apps.chesapeake-commons.org/nfwf/index.html,11,NA,success,2026-03-28 15:01:27
1470,2013,CC-MAIN-2013-48,NA,http://archive.photocafe.ie/,1244,NA,success,2026-03-28 14:46:04
1432,2013,CC-MAIN-2013-48,NA,http://artstud.io/,83,NA,success,2026-03-28 14:45:02
1393,2013,CC-MAIN-2013-48,NA,http://ashfield295.adultsservice.com.au/home.html,477,NA,success,2026-03-28 14:43:57
1886,2013,CC-MAIN-2013-48,NA,http://athlone.olx.ie/rooms-for-rent-shared-cat-301,2675,NA,success,2026-03-28 14:57:26
1861,2013,CC-MAIN-2013-48,NA,http://au.urlspy.co/www.livecricket1.com,3009,NA,success,2026-03-28 14:56:45
2128,2013,CC-MAIN-2013-48,NA,http://awayonmybike.adventureriders.com.au/2011/11/15/more-on-norway/,7576,NA,success,2026-03-28 15:04:03
1544,2013,CC-MAIN-2013-48,NA,http://awayonmybike.adventureriders.com.au/2011/11/15/onward-sweden-denmark-briefly-and-now-germany/,9436,NA,success,2026-03-28 14:48:05
1801,2013,CC-MAIN-2013-48,NA,http://backbeam.io/documentation-javascript,30704,NA,success,2026-03-28 14:55:08
1791,2013,CC-MAIN-2013-48,NA,http://baremetal.io/,2750,NA,success,2026-03-28 14:54:51
1781,2013,CC-MAIN-2013-48,NA,http://barrow.io/overflow-scrolling,2842,NA,success,2026-03-28 14:54:35
2123,2013,CC-MAIN-2013-48,NA,http://bender.io/,3855,NA,success,2026-03-28 15:03:55
1958,2013,CC-MAIN-2013-48,NA,http://bex.io/,4176,NA,success,2026-03-28 14:59:23
1263,2013,CC-MAIN-2013-48,NA,http://binbox.io/Su2rh,1920,NA,success,2026-03-28 14:40:21
2130,2013,CC-MAIN-2013-48,NA,http://blackberry.io/,339,NA,success,2026-03-28 15:04:06
1609,2013,CC-MAIN-2013-48,NA,http://blog.adviso.com.au/,416,NA,success,2026-03-28 14:49:50
1745,2013,CC-MAIN-2013-48,NA,http://blog.bahadir.io/posts/failed-entrepreneur.html,2806,NA,success,2026-03-28 14:53:36
1196,2013,CC-MAIN-2013-48,NA,http://blog.brackets.io/2013/08/09/preview-brackets-on-linux/,10118,NA,success,2026-03-28 14:38:30
1792,2013,CC-MAIN-2013-48,NA,http://blog.close.io/post/49440305534/sweating-the-ui-ux-details-in-close-io-emails,4080,NA,success,2026-03-28 14:54:53
1114,2013,CC-MAIN-2013-48,NA,http://blog.codeable.io/2013/01/23/well-just-put-ads-on.html,2364,NA,success,2026-03-28 14:36:14
1449,2013,CC-MAIN-2013-48,NA,http://blog.codeship.io/2013/03/07/Smoke-Testing-with-Casperjs.html,5154,NA,success,2026-03-28 14:45:30
1531,2013,CC-MAIN-2013-48,NA,http://blog.dam.io/key-value-store-in-o1/,1600,NA,success,2026-03-28 14:47:43
1871,2013,CC-MAIN-2013-48,NA,http://blog.halifaxshippingnews.ca/2012/02/uscgc-tahoma.html,3703,NA,success,2026-03-28 14:57:01
2059,2013,CC-MAIN-2013-48,NA,http://blog.pacon.ie/tag/secure-ordering/,1206,NA,success,2026-03-28 15:02:08
2084,2013,CC-MAIN-2013-48,NA,http://blog.pussyjapan.net/f/Japanfucke/szh/1,2955,NA,success,2026-03-28 15:02:48
1896,2013,CC-MAIN-2013-48,NA,http://blog.togo.io/news/redistogo-now-available-in-aws-us-west/,3095,NA,success,2026-03-28 14:57:42
1271,2013,CC-MAIN-2013-48,NA,http://bmaeser.io/,522,NA,success,2026-03-28 14:40:35
1203,2013,CC-MAIN-2013-48,NA,http://bp.io/post/79,6237,NA,success,2026-03-28 14:38:41
1146,2013,CC-MAIN-2013-48,NA,http://bsn.io/,112,NA,success,2026-03-28 14:37:07
1265,2013,CC-MAIN-2013-48,NA,http://calca.io/examples/,13214,NA,success,2026-03-28 14:40:24
1802,2013,CC-MAIN-2013-48,NA,http://cargo.a-nt.io/,132,NA,success,2026-03-28 14:55:10
1603,2013,CC-MAIN-2013-48,NA,http://carpacc.io/,52,NA,success,2026-03-28 14:49:41
1934,2013,CC-MAIN-2013-48,NA,http://chesapeakeacademy.org/,3077,NA,success,2026-03-28 14:58:44
1475,2013,CC-MAIN-2013-48,NA,http://chesapeakeandpotomac.org/rhubarb/2010/03/,2182,NA,success,2026-03-28 14:46:12
1878,2013,CC-MAIN-2013-48,NA,http://chesapeakechambermusic.org/festival/index.htm,1189,NA,success,2026-03-28 14:57:13
1121,2013,CC-MAIN-2013-48,NA,http://chesapeakecommunities.org/,385,NA,success,2026-03-28 14:36:26
1109,2013,CC-MAIN-2013-48,NA,http://chesapeakecurling.org/user/login?destination=node/48%23comment-form,1553,NA,success,2026-03-28 14:36:06
1521,2013,CC-MAIN-2013-48,NA,http://chesapeakejubilee.org/bbq-competition/,503,NA,success,2026-03-28 14:47:27
2083,2013,CC-MAIN-2013-48,NA,http://chesapeaketherapeuticriding.org/programs.html,1799,NA,success,2026-03-28 15:02:47
1910,2013,CC-MAIN-2013-48,NA,http://chescocooler.org/online/,3753,NA,success,2026-03-28 14:58:06
1645,2013,CC-MAIN-2013-48,NA,http://chescodems.org/,33123,NA,success,2026-03-28 14:50:51
1607,2013,CC-MAIN-2013-48,NA,http://cheshirehomequeensburgh.org/,171,NA,success,2026-03-28 14:49:47
1296,2013,CC-MAIN-2013-48,NA,http://cheshiremoon.org/,1278,NA,success,2026-03-28 14:41:17
1425,2013,CC-MAIN-2013-48,NA,http://chesno.org/profile/430/,3636,NA,success,2026-03-28 14:44:50
1245,2013,CC-MAIN-2013-48,NA,http://chessaspc.org/,18983,NA,success,2026-03-28 14:39:51
1915,2013,CC-MAIN-2013-48,NA,http://chessyoga.org/,1557,NA,success,2026-03-28 14:58:14
1582,2013,CC-MAIN-2013-48,NA,http://cmdz.io/,355,NA,success,2026-03-28 14:49:07
1771,2013,CC-MAIN-2013-48,NA,http://codecraft.io/2011/08/14/ruby-gem-contributions/,4168,NA,success,2026-03-28 14:54:18
1400,2013,CC-MAIN-2013-48,NA,http://codepen.io/TimPietrusky/pen/Bsegb,1671,NA,success,2026-03-28 14:44:09
1922,2013,CC-MAIN-2013-48,NA,http://codepen.io/ashx89/pen/sCboE,1671,NA,success,2026-03-28 14:58:25
1923,2013,CC-MAIN-2013-48,NA,http://codepen.io/mckamey/full/mrfvg,288,NA,success,2026-03-28 14:58:26
2015,2013,CC-MAIN-2013-48,NA,http://colombia.verinmuebles.co/se-vende-casa-en-villavicencio-via-restrepo-villavicencio-meta-578020.html,2730,NA,success,2026-03-28 15:00:56
1414,2013,CC-MAIN-2013-48,NA,http://component.io/hueniverse/hawk,12,NA,success,2026-03-28 14:44:32
1975,2013,CC-MAIN-2013-48,NA,http://converser.io/docs/developers/getting-started/,45,NA,success,2026-03-28 14:59:51
1288,2013,CC-MAIN-2013-48,NA,http://count.io/,3013,NA,success,2026-03-28 14:41:03
1925,2013,CC-MAIN-2013-48,NA,http://cozy.io/v1-snowden-release/,2262,NA,success,2026-03-28 14:58:29
1732,2013,CC-MAIN-2013-48,NA,http://crn.io/2011/12/learning-clojure-making-a-maze/,10677,NA,success,2026-03-28 14:53:14
1427,2013,CC-MAIN-2013-48,NA,http://crowdfunder.io/bill_reichert/,4449,NA,success,2026-03-28 14:44:54
1480,2013,CC-MAIN-2013-48,NA,http://crushstud.io/,6525,NA,success,2026-03-28 14:46:20
1894,2013,CC-MAIN-2013-48,NA,http://cryptographics.io/,1193,NA,success,2026-03-28 14:57:39
2066,2013,CC-MAIN-2013-48,NA,http://cur.io/blog/?p=23,3222,NA,success,2026-03-28 15:02:19
1989,2013,CC-MAIN-2013-48,NA,http://customer.io/blog/email-subject-lines-plus-first-line-previews.html,3134,NA,success,2026-03-28 15:00:14
1663,2013,CC-MAIN-2013-48,NA,http://d205139.pem.kpn.net/pagina/07101.htm,45824,NA,success,2026-03-28 14:51:21
1991,2013,CC-MAIN-2013-48,NA,http://dale.io/,1087,NA,success,2026-03-28 15:00:17
1282,2013,CC-MAIN-2013-48,NA,http://darkbean.io/,170,NA,success,2026-03-28 14:40:53
1542,2013,CC-MAIN-2013-48,NA,http://dart.io/,10582,NA,success,2026-03-28 14:48:01
1898,2013,CC-MAIN-2013-48,NA,http://docs.ably.io/rest-api/,13449,NA,success,2026-03-28 14:57:46
1462,2013,CC-MAIN-2013-48,NA,http://docs.spring.io/spring/docs/1.1.x/api/org/springframework/transaction/jta/JtaTransactionManager.html,25776,NA,success,2026-03-28 14:45:51
1824,2013,CC-MAIN-2013-48,NA,http://download.oliversad.ie/,531,NA,success,2026-03-28 14:55:45
1658,2013,CC-MAIN-2013-48,NA,http://eduard.kozachek.net/blog/it/soft/praetorian-exe-%d0%b2%d0%b8%d1%80%d1%83%d1%81-%d0%b8%d0%bb%d0%b8-%d1%87%d1%82%d0%be-%d1%82%d0%be-%d0%bf%d0%be%d0%bb%d0%b5%d0%b7%d0%bd%d0%be%d0%b5/?cat=soft&post=15,13020,NA,success,2026-03-28 14:51:12
1171,2013,CC-MAIN-2013-48,NA,http://english.krazykartoons.net/contact-us-2/,1610,NA,success,2026-03-28 14:37:49
1294,2013,CC-MAIN-2013-48,NA,http://getaddr.bitnodes.io/,9805,NA,success,2026-03-28 14:41:13
1540,2013,CC-MAIN-2013-48,NA,http://h2central.ca/sitemap.html,551,NA,success,2026-03-28 14:47:58
1752,2013,CC-MAIN-2013-48,NA,http://haarlem.ca/,1126,NA,success,2026-03-28 14:53:47
