id,year,crawl_id,shard_id,original_url,text_length,languages,fetch_status,collected_at
10548,2022,CC-MAIN-2022-49,NA,http://2017.nc4.ie/session/cloud-simulation-workshop-part-2/,1385,eng,success,2026-03-29 00:24:26
11495,2022,CC-MAIN-2022-49,NA,http://2018.nc4.ie/speaker/john-power/,920,eng,success,2026-03-29 00:51:17
10620,2022,CC-MAIN-2022-49,NA,http://939broadway.com/,2290,eng,success,2026-03-29 00:26:29
10814,2022,CC-MAIN-2022-49,NA,http://939mikefm.com/event/heartland-idol-tryouts-osage-center/attachment/heartland-idol-2022-tryouts/,1032,eng,success,2026-03-29 00:32:04
11072,2022,CC-MAIN-2022-49,NA,http://93coupe.com/93-foxbody-coyote-at-sebring/,2196,eng,success,2026-03-29 00:39:23
11202,2022,CC-MAIN-2022-49,NA,http://93life.com/caseshow_36.html,2404,"zho,eng",success,2026-03-29 00:43:02
10905,2022,CC-MAIN-2022-49,NA,http://93life.com/newshow_10_56.html,2699,"zho,eng",success,2026-03-29 00:34:38
10721,2022,CC-MAIN-2022-49,NA,http://acu.org.au/about.htm,1858,eng,success,2026-03-29 00:29:21
10722,2022,CC-MAIN-2022-49,NA,http://adadance.org.au/?page_id=41,3225,eng,success,2026-03-29 00:29:23
10901,2022,CC-MAIN-2022-49,NA,http://add.org.au/robots.txt,9,NA,success,2026-03-29 00:34:31
10573,2022,CC-MAIN-2022-49,NA,http://adelaideantiqueauto.org.au/,51,eng,success,2026-03-29 00:25:08
10571,2022,CC-MAIN-2022-49,NA,http://adelaidemasters.org.au/content/covid-procedures,1889,eng,success,2026-03-29 00:25:04
10894,2022,CC-MAIN-2022-49,NA,http://adhn.org.au/news,4758,eng,success,2026-03-29 00:34:19
11022,2022,CC-MAIN-2022-49,NA,http://aee-mtu.org/teams/REMM.html,1193,eng,success,2026-03-29 00:37:58
11101,2022,CC-MAIN-2022-49,NA,http://carltonrotary.org.au/photo-album/101/SachikoKubotaSoloExhibition/?cid=31,501,eng,success,2026-03-29 00:40:13
11400,2022,CC-MAIN-2022-49,NA,http://carramar.org.au/news/2/Wanneroo-Road-Widening-Joondalup-Drive-to-Flynn-Drive,1147,eng,success,2026-03-29 00:48:37
11414,2022,CC-MAIN-2022-49,NA,http://casanz.org.au/,101,eng,success,2026-03-29 00:49:00
10587,2022,CC-MAIN-2022-49,NA,http://casanz.org.au/?C=N;O=D,101,eng,success,2026-03-29 00:25:32
10804,2022,CC-MAIN-2022-49,NA,http://catalysechange.org.au/testimonials/,3712,eng,success,2026-03-29 00:31:47
11348,2022,CC-MAIN-2022-49,NA,http://foerster.io/,210,eng,success,2026-03-29 00:47:09
11515,2022,CC-MAIN-2022-49,NA,http://foin.io/manual/fr/mod/mod_so.html,6961,"fra,eng",success,2026-03-29 00:51:50
10716,2022,CC-MAIN-2022-49,NA,http://fontfinder.io/,196,eng,success,2026-03-29 00:29:13
11028,2022,CC-MAIN-2022-49,NA,http://foodify.io/,4068,eng,success,2026-03-29 00:38:08
10699,2022,CC-MAIN-2022-49,NA,http://foodink.io/london/,3926,eng,success,2026-03-29 00:28:44
11440,2022,CC-MAIN-2022-49,NA,http://foodinn.nz/,735,eng,success,2026-03-29 00:49:44
10815,2022,CC-MAIN-2022-49,NA,http://forbs.nz/,6365,eng,success,2026-03-29 00:32:06
11194,2022,CC-MAIN-2022-49,NA,http://jiprojects.ca/activities.html,51,eng,success,2026-03-29 00:42:48
10748,2022,CC-MAIN-2022-49,NA,http://jitbose.ca/,627,eng,success,2026-03-29 00:30:08
11223,2022,CC-MAIN-2022-49,NA,http://jits.ca/quimicacanada.com/product/menthol-lozenges-pastilles-de-menthol/?add-to-cart=62,34211,eng,success,2026-03-29 00:43:38
11043,2022,CC-MAIN-2022-49,NA,http://jits.ca/quimicacanada.com/product/menthol-lozenges-pastilles-de-menthol/?add-to-cart=63,34223,eng,success,2026-03-29 00:38:34
10648,2022,CC-MAIN-2022-49,NA,http://jiujitsucouncil.ca/benefits.html,1715,eng,success,2026-03-29 00:27:17
11039,2022,CC-MAIN-2022-49,NA,http://jjentertainers.ca/2022/10/16/hello-world/,735,eng,success,2026-03-29 00:38:27
10961,2022,CC-MAIN-2022-49,NA,http://jjmcneil.ca/ottawa-green-buildings/,9742,eng,success,2026-03-29 00:36:14
11193,2022,CC-MAIN-2022-49,NA,http://jjrealtors.ca/mylistings.html/listing.r2221586-6142-w-greenside-drive-surrey-v3s-5m8.71191543/videos,3651,eng,success,2026-03-29 00:42:46
11130,2022,CC-MAIN-2022-49,NA,http://jkco.ca/category/summer/,1727,"lat,eng",success,2026-03-29 00:41:01
10913,2022,CC-MAIN-2022-49,NA,http://jksolutions.ca/consulting.html,2036,eng,success,2026-03-29 00:34:52
11427,2022,CC-MAIN-2022-49,NA,http://jksolutions.ca/untitled/index.html,1298,eng,success,2026-03-29 00:49:22
11340,2022,CC-MAIN-2022-49,NA,http://jlcore.ca/,15513,eng,success,2026-03-29 00:46:55
11132,2022,CC-MAIN-2022-49,NA,http://jlhenderson.ca/index.cgi/email-form/newsletter,295,eng,success,2026-03-29 00:41:04
10709,2022,CC-MAIN-2022-49,NA,http://kinsale-art-gallery.ie/?gal=0&opt=img&id=Owenglin_River_Connemara.jpg&query_term=&query_type=,345,eng,success,2026-03-29 00:29:01
11177,2022,CC-MAIN-2022-49,NA,http://kitchendesignexpertise.ie/,133,eng,success,2026-03-29 00:42:20
10578,2022,CC-MAIN-2022-49,NA,http://kittyoses.ie/menu/beer/,1867,eng,success,2026-03-29 00:25:17
11279,2022,CC-MAIN-2022-49,NA,http://kjbarry.ie/,2809,eng,success,2026-03-29 00:45:13
11402,2022,CC-MAIN-2022-49,NA,http://kjbarry.ie/services/contact,1697,eng,success,2026-03-29 00:48:40
